"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"5C","17-18","9","Picking of radar waste","129,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","156,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","1","Drainage works","192,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","2","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","192,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","3","Benches","198,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","4","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","145,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","5","Drainage works","179,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","6","Drainage cleaning","169,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","7","Picking of radar waste","127,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","8","Furniture works, curtains etc.","156,000.00","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","176,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","176,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","1","Drainage works","115,367.15","Drainage","Resolved","Data from a completely separate sheet; needs verification.","Verified- Tanmay","","","","","","","","","","","","","","","",""
"5A","17-18","2","Drainage works","163,402.84","Drainage","Resolved","Data from a completely separate sheet; needs verification.","Verified- Tanmay","","","","","","","","","","","","","","","",""
"5D","17-18","6","Drainage works","199,000.00","Drainage","Resolved","Data from a completely separate sheet; needs verification.","Verified- Tanmay","","","","","","","","","","","","","","","",""
"3A","18-19","1","Distributing Dustbins/buckets","199,987.20","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","2","Distributing Dustbins/buckets","199,920.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","3","Slogans painting","191,679.87","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","4","Footpaths / pedestrian crossings","187,424.54","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","5","Footpaths / pedestrian crossings","189,629.54","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","6","Drainage works","197,530.49","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","7","Chamber related work","196,956.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","8","Drainage works","197,530.49","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,981.60","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,291.01","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","1","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","2","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","3","Road decoration","173,187.94","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","4","Benches","65,918.72","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","5","Benches","181,276.48","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","6","Drainage works","197,530.49","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","7","Drainage works","197,710.05","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","197,225.09","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","197,767.88","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","10","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","169,375.86","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","86,259.90","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","3","Road Construction / Colouring Roads / Railing Work / Speed Breaker","168,002.81","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","168,198.90","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,950.24","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","1","Water pipelines, repairing etc.","159,513.90","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,984.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","3","Picking of radar waste","159,744.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","4","Drainage works","161,273.20","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","5","Picking of radar waste","200,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","6","Pavement Blocks / Grouting / Laying tiles","200,000.00","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","7","Zebra crossing and parking lines paiting","100,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","1","Distributing Dustbins/buckets","199,920.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","2","Jute bags/ cloth/ canvas bags etc.","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","3","Road Construction / Colouring Roads / Railing Work / Speed Breaker","177,235.27","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","4","Distributing Dustbins/buckets","199,920.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","5","Jute bags/ cloth/ canvas bags etc.","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","177,521.48","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","7","Benches","178,336.05","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4A","18-19","8","Distributing Dustbins/buckets","199,920.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","1","Distributing Dustbins/buckets","199,528.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","2","Benches","177,813.22","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","3","Benches","176,354.54","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","4","Distributing Dustbins/buckets","199,808.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","5","Drainage works","149,763.91","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","6","Jute bags/ cloth/ canvas bags etc.","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","7","Colouring works","158,776.57","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4B","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","174,875.45","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","1","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","2","Benches","197,850.50","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","3","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","4","Jute bags/ cloth/ canvas bags etc.","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","5","Drainage works","197,726.33","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","167,425.12","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4C","18-19","7","Colouring works","158,877.55","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","1","Distributing Dustbins/buckets","199,808.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","2","Benches","178,336.05","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","3","Distributing Dustbins/buckets","199,136.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","4","Drainage works","179,371.38","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","5","Jute bags/ cloth/ canvas bags etc.","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","6","Cleaning material purchase etc","175,417.09","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","7","Road Construction / Colouring Roads / Railing Work / Speed Breaker","177,141.86","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","169,154.25","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","3","Benches","199,646.05","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","4","Drainage works","173,813.52","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","5","Picking of radar waste","189,174.72","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","6","Benches","190,390.23","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","7","Wall painting and decoration","179,979.20","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","8","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","9","Naala cleaning","142,812.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","10","Thermoplastic stips painting","168,517.69","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","1","Furniture related work","178,535.00","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","2","Picking of radar waste","178,290.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","3","Benches","176,744.30","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","4","Benches","197,897.14","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","5","Benches","197,288.94","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","6","Drainage works","176,765.52","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","7","Drainage works","199,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","168,588.53","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","10","Bags","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","1","Drainage works","197,332.88","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","2","Building toilets / maintenance etc.","197,598.34","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","3","Ghanta-gadi purchase","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","189,932.27","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","5","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","6","Concretization","188,481.42","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","7","Bags","100,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","185,997.01","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","9","Benches","189,581.60","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","10","Drainage works","197,925.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","1","Benches","169,603.10","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","2","Benches","169,603.10","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","3","Drainage works","160,679.70","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","178,495.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","5","Picking of radar waste","160,906.72","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","160,466.40","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","7","Drainage works","199,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","8","Miscelleneous Development work","178,548.00","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","1","Drainage works","199,702.72","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","2","Drainage works","199,820.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","3","Footpaths / pedestrian crossings","199,893.79","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","4","Footpaths / pedestrian crossings","192,231.00","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","5","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","199,987.20","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","6","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","Resolved","No amount is mentioned in the sheet!!!","2 lakhs added based on other entries: Tanmay","","","","","","","","","","","","","","","",""
"3A","19-20","7","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","Resolved","No amount is mentioned in the sheet!!!","2 lakhs added based on other entries: Tanmay","","","","","","","","","","","","","","","",""
"3B","19-20","1","Distributing Computers","200,000.00","Computers","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","2","Drainage works","197,652.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","3","Pavement Blocks / Grouting / Laying tiles","199,697.12","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","4","Library sheds/ library maintenance","189,420.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,893.79","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","6","Drainage works","197,696.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","7","Library sheds/ library maintenance","197,350.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","8","Benches","100,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","9","Benches","200,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","10","Mainetnance and cleaning works","164,287.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","11","Disaster Relief Work / Contribution to PM Cares etc","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","1","Decoration (सुशोभीकरण in marathi)","122,975.00","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","147,108.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","3","Colouring works","122,990.00","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","4","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","5","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","6","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","7","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","8","Disaster Relief Work / Contribution to PM Cares etc","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","9","Bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","10","Push vehicles supply","100,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","11","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","1","Footpaths / pedestrian crossings","200,000.00","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","2","Cleaning material purchase etc","199,995.04","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","3","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","99,993.60","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","5","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","199,903.76","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","6","Repair work of security wall compound","199,979.36","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","7","Drainage works","199,914.40","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
